datetime,locomotive_id,Speed,primary_locomotive_speed
52:03.0,BNSF8409,0.00,0.00
52:04.0,BNSF8409,0.00,0.00
52:05.0,BNSF8409,0.00,0.00
52:06.0,BNSF8409,0.00,0.00
52:07.0,BNSF8409,0.00,0.00
52:08.0,BNSF8409,0.00,0.00
52:09.0,BNSF8409,0.00,0.00
52:10.0,BNSF8409,0.00,0.00
52:11.0,BNSF8409,0.00,0.00
52:12.0,BNSF8409,0.00,0.00
52:13.0,BNSF8409,0.00,0.00
52:14.0,BNSF8409,0.00,0.00
52:15.0,BNSF8409,0.00,0.00
52:16.0,BNSF8409,0.00,0.00
52:17.0,BNSF8409,0.00,0.00
52:18.0,BNSF8409,0.00,0.00
52:19.0,BNSF8409,0.00,0.00
52:20.0,BNSF8409,0.00,0.00
52:21.0,BNSF8409,0.00,0.00
52:22.0,BNSF8409,0.00,0.00
52:23.0,BNSF8409,0.00,0.00
52:24.0,BNSF8409,0.00,0.00
52:25.0,BNSF8409,0.00,0.00
52:26.0,BNSF8409,0.00,0.00
52:27.0,BNSF8409,0.00,0.00
52:28.0,BNSF8409,0.00,0.00
52:29.0,BNSF8409,0.00,0.00
52:30.0,BNSF8409,0.00,0.00
52:31.0,BNSF8409,0.00,0.00
52:32.0,BNSF8409,0.00,0.00
52:33.0,BNSF8409,0.00,0.00
52:34.0,BNSF8409,0.00,0.00
52:35.0,BNSF8409,0.00,0.00
52:36.0,BNSF8409,0.00,0.00
52:37.0,BNSF8409,0.00,0.00
52:38.0,BNSF8409,0.00,0.00
52:39.0,BNSF8409,0.00,0.00
52:40.0,BNSF8409,0.00,0.00
52:41.0,BNSF8409,0.00,0.00
52:42.0,BNSF8409,0.00,0.00
52:43.0,BNSF8409,0.00,0.00
52:44.0,BNSF8409,0.00,0.00
52:45.0,BNSF8409,0.00,0.00
52:46.0,BNSF8409,0.00,0.00
52:47.0,BNSF8409,0.00,0.00
52:48.0,BNSF8409,0.00,0.00
52:49.0,BNSF8409,0.00,0.00
52:50.0,BNSF8409,0.00,0.00
52:51.0,BNSF8409,0.00,0.00
52:52.0,BNSF8409,0.00,0.00
52:53.0,BNSF8409,0.00,0.00
52:54.0,BNSF8409,0.00,0.00
52:55.0,BNSF8409,0.00,0.00
52:56.0,BNSF8409,0.00,0.00
52:57.0,BNSF8409,0.00,0.00
52:58.0,BNSF8409,0.00,0.00
52:59.0,BNSF8409,0.00,0.00
53:00.0,BNSF8409,0.00,0.00
53:01.0,BNSF8409,0.00,0.00
53:02.0,BNSF8409,0.00,0.00
53:03.0,BNSF8409,0.00,0.00
53:04.0,BNSF8409,0.00,0.00
53:05.0,BNSF8409,0.00,0.00
53:06.0,BNSF8409,0.00,0.00
53:07.0,BNSF8409,0.00,0.00
53:08.0,BNSF8409,0.00,0.00
53:09.0,BNSF8409,0.00,0.00
53:10.0,BNSF8409,0.00,0.00
53:11.0,BNSF8409,0.00,0.00
53:12.0,BNSF8409,0.00,0.00
53:13.0,BNSF8409,0.00,0.00
53:14.0,BNSF8409,0.00,0.00
53:15.0,BNSF8409,0.00,0.00
53:16.0,BNSF8409,0.00,0.00
53:17.0,BNSF8409,0.00,0.00
53:18.0,BNSF8409,0.00,0.00
53:19.0,BNSF8409,0.00,0.00
53:20.0,BNSF8409,0.00,0.00
53:21.0,BNSF8409,0.00,0.00
53:22.0,BNSF8409,0.00,0.00
53:23.0,BNSF8409,0.00,0.00
53:24.0,BNSF8409,0.00,0.00
53:25.0,BNSF8409,0.00,0.00
53:26.0,BNSF8409,0.00,0.00
53:27.0,BNSF8409,0.00,0.00
53:28.0,BNSF8409,0.00,0.00
53:29.0,BNSF8409,0.00,0.00
53:30.0,BNSF8409,0.00,0.00
53:31.0,BNSF8409,0.00,0.00
53:32.0,BNSF8409,0.00,0.00
53:33.0,BNSF8409,0.00,0.00
53:34.0,BNSF8409,0.00,0.00
53:35.0,BNSF8409,0.00,0.00
53:36.0,BNSF8409,0.00,0.00
53:37.0,BNSF8409,0.00,0.00
53:38.0,BNSF8409,0.00,0.00
53:39.0,BNSF8409,0.00,0.00
53:40.0,BNSF8409,0.00,0.00
53:41.0,BNSF8409,0.00,0.00
53:42.0,BNSF8409,0.00,0.00
53:43.0,BNSF8409,0.00,0.00
53:44.0,BNSF8409,0.00,0.00
53:45.0,BNSF8409,0.00,0.00
53:46.0,BNSF8409,0.00,0.00
53:47.0,BNSF8409,0.00,0.00
53:48.0,BNSF8409,0.00,0.00
53:49.0,BNSF8409,0.00,0.00
53:50.0,BNSF8409,0.00,0.00
53:51.0,BNSF8409,0.00,0.00
